"","age","sex","date","responsetime1","responsetime2","still1","still2","method","sideCile1","sideCile2","picked_ball1","picked_ball2","condition","trial","correct_first","correct_second","correct_all","id","agecat"
"476",11,"male","2021-11-04_13h18.32.903",8.8169,4.8845,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","right","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-11-04_13h18.32.903","teen"
"477",11,"male","2021-11-04_13h18.32.903",5.2137,3.5053,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","right","pseudo-word demonstrative",6,1,1,1,"pseudo-word demonstrative_2021-11-04_13h18.32.903","teen"
"478",11,"male","2021-11-04_13h18.32.903",7.7427,3.7519,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","left","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-11-04_13h18.32.903","teen"
"479",11,"male","2021-11-04_13h18.32.903",4.6928,4.1965,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","right","pseudo-word demonstrative",8,1,1,1,"pseudo-word demonstrative_2021-11-04_13h18.32.903","teen"
"484",5,"male","2021-11-05_09h41.30.858",23.9574,29.8798,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",1,1,0,0,"pseudo-word demonstrative_2021-11-05_09h41.30.858","child"
"485",5,"male","2021-11-05_09h41.30.858",17.195,21.4641,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",2,1,0,0,"pseudo-word demonstrative_2021-11-05_09h41.30.858","child"
"486",5,"male","2021-11-05_09h41.30.858",13.3437,16.0192,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",3,0,1,0,"pseudo-word demonstrative_2021-11-05_09h41.30.858","child"
"487",5,"male","2021-11-05_09h41.30.858",10.2452,14.7135,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",4,0,1,0,"pseudo-word demonstrative_2021-11-05_09h41.30.858","child"
"488",5,"male","2021-11-05_09h41.30.858",13.1669,10.0404,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",5,1,0,0,"pseudo-word demonstrative_2021-11-05_09h41.30.858","child"
"489",5,"male","2021-11-05_09h41.30.858",12.264,15.1241,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",6,0,1,0,"pseudo-word demonstrative_2021-11-05_09h41.30.858","child"
"490",5,"male","2021-11-05_09h41.30.858",11.0109,16.6242,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",7,1,0,0,"pseudo-word demonstrative_2021-11-05_09h41.30.858","child"
"491",5,"male","2021-11-05_09h41.30.858",19.0413,20.4532,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",8,0,1,0,"pseudo-word demonstrative_2021-11-05_09h41.30.858","child"
"496",6,"male","2021-11-05_09h54.44.471",10.7445,5.2399,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",1,0,1,0,"pseudo-word demonstrative_2021-11-05_09h54.44.471","child"
"497",6,"male","2021-11-05_09h54.44.471",7.2373,7.2422,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",2,1,0,0,"pseudo-word demonstrative_2021-11-05_09h54.44.471","child"
"498",6,"male","2021-11-05_09h54.44.471",5.7082,5.9579,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",3,1,0,0,"pseudo-word demonstrative_2021-11-05_09h54.44.471","child"
"499",6,"male","2021-11-05_09h54.44.471",5.2461,11.6294,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",4,1,0,0,"pseudo-word demonstrative_2021-11-05_09h54.44.471","child"
"500",6,"male","2021-11-05_09h54.44.471",7.2494,5.9572,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",5,0,1,0,"pseudo-word demonstrative_2021-11-05_09h54.44.471","child"
"501",6,"male","2021-11-05_09h54.44.471",7.2963,6.2021,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",6,1,0,0,"pseudo-word demonstrative_2021-11-05_09h54.44.471","child"
"502",6,"male","2021-11-05_09h54.44.471",5.9914,5.6544,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",7,0,1,0,"pseudo-word demonstrative_2021-11-05_09h54.44.471","child"
"503",6,"male","2021-11-05_09h54.44.471",6.6573,6.8845,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",8,1,0,0,"pseudo-word demonstrative_2021-11-05_09h54.44.471","child"
"508",5,"female","2021-11-05_10h24.27.048",8.8406,7.2055,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",1,0,1,0,"pseudo-word demonstrative_2021-11-05_10h24.27.048","child"
"509",5,"female","2021-11-05_10h24.27.048",5.9334,7.6201,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",2,1,0,0,"pseudo-word demonstrative_2021-11-05_10h24.27.048","child"
"510",5,"female","2021-11-05_10h24.27.048",7.6588,5.9448,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",3,1,0,0,"pseudo-word demonstrative_2021-11-05_10h24.27.048","child"
"511",5,"female","2021-11-05_10h24.27.048",7.306,6.4529,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","left","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2021-11-05_10h24.27.048","child"
"512",5,"female","2021-11-05_10h24.27.048",7.3086,6.1246,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",5,1,0,0,"pseudo-word demonstrative_2021-11-05_10h24.27.048","child"
"513",5,"female","2021-11-05_10h24.27.048",6.8472,5.6713,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",6,1,0,0,"pseudo-word demonstrative_2021-11-05_10h24.27.048","child"
"514",5,"female","2021-11-05_10h24.27.048",7.1076,7.3307,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",7,0,1,0,"pseudo-word demonstrative_2021-11-05_10h24.27.048","child"
"515",5,"female","2021-11-05_10h24.27.048",7.1813,5.1796,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",8,1,0,0,"pseudo-word demonstrative_2021-11-05_10h24.27.048","child"
"520",5,"female","2021-11-05_12h20.41.225",32.9664,15.1558,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",1,0,1,0,"pseudo-word demonstrative_2021-11-05_12h20.41.225","child"
"521",5,"female","2021-11-05_12h20.41.225",10.4902,19.3708,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",2,1,0,0,"pseudo-word demonstrative_2021-11-05_12h20.41.225","child"
"522",5,"female","2021-11-05_12h20.41.225",16.9935,33.8055,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",3,0,1,0,"pseudo-word demonstrative_2021-11-05_12h20.41.225","child"
"523",5,"female","2021-11-05_12h20.41.225",19.1546,11.3915,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",4,1,0,0,"pseudo-word demonstrative_2021-11-05_12h20.41.225","child"
"524",5,"female","2021-11-05_12h20.41.225",9.9796,13.255,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",5,0,1,0,"pseudo-word demonstrative_2021-11-05_12h20.41.225","child"
"525",5,"female","2021-11-05_12h20.41.225",12.3077,9.6061,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",6,0,1,0,"pseudo-word demonstrative_2021-11-05_12h20.41.225","child"
"526",5,"female","2021-11-05_12h20.41.225",20.8747,7.6259,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",7,1,0,0,"pseudo-word demonstrative_2021-11-05_12h20.41.225","child"
"527",5,"female","2021-11-05_12h20.41.225",9.9671,7.8514,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",8,0,1,0,"pseudo-word demonstrative_2021-11-05_12h20.41.225","child"
"532",6,"male","2021-11-05_13h02.33.509",19.1367,13.3423,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",1,0,1,0,"pseudo-word demonstrative_2021-11-05_13h02.33.509","child"
"533",6,"male","2021-11-05_13h02.33.509",11.1546,5.9941,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",2,0,1,0,"pseudo-word demonstrative_2021-11-05_13h02.33.509","child"
"534",6,"male","2021-11-05_13h02.33.509",7.3765,8.086,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",3,0,1,0,"pseudo-word demonstrative_2021-11-05_13h02.33.509","child"
"535",6,"male","2021-11-05_13h02.33.509",8.5837,6.5704,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",4,1,0,0,"pseudo-word demonstrative_2021-11-05_13h02.33.509","child"
"536",6,"male","2021-11-05_13h02.33.509",9.2463,6.4635,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",5,0,1,0,"pseudo-word demonstrative_2021-11-05_13h02.33.509","child"
"537",6,"male","2021-11-05_13h02.33.509",8.8173,8.0977,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",6,1,0,0,"pseudo-word demonstrative_2021-11-05_13h02.33.509","child"
"538",6,"male","2021-11-05_13h02.33.509",10.2336,6.1079,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",7,0,1,0,"pseudo-word demonstrative_2021-11-05_13h02.33.509","child"
"539",6,"male","2021-11-05_13h02.33.509",8.7463,5.4905,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",8,0,1,0,"pseudo-word demonstrative_2021-11-05_13h02.33.509","child"
"544",5,"male","2021-11-05_13h21.51.914",14.751,7.338,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",1,1,0,0,"pseudo-word demonstrative_2021-11-05_13h21.51.914","child"
"545",5,"male","2021-11-05_13h21.51.914",6.206,4.107,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",2,0,1,0,"pseudo-word demonstrative_2021-11-05_13h21.51.914","child"
"546",5,"male","2021-11-05_13h21.51.914",9.17,8.022,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","left","pseudo-word demonstrative",3,0,0,0,"pseudo-word demonstrative_2021-11-05_13h21.51.914","child"
"547",5,"male","2021-11-05_13h21.51.914",17.53,8.269,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","left","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2021-11-05_13h21.51.914","child"
"548",5,"male","2021-11-05_13h21.51.914",9.086,5.339,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","right","pseudo-word demonstrative",5,0,0,0,"pseudo-word demonstrative_2021-11-05_13h21.51.914","child"
"549",5,"male","2021-11-05_13h21.51.914",7.739,6.989,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",6,0,1,0,"pseudo-word demonstrative_2021-11-05_13h21.51.914","child"
"550",5,"male","2021-11-05_13h21.51.914",10.901,4.791,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",7,0,1,0,"pseudo-word demonstrative_2021-11-05_13h21.51.914","child"
"551",5,"male","2021-11-05_13h21.51.914",17.747,6.256,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",8,0,1,0,"pseudo-word demonstrative_2021-11-05_13h21.51.914","child"
"556",6,"male","2022-04-25_10h50.35.694",8.8458,7.7986,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",1,1,0,0,"pseudo-word demonstrative_2022-04-25_10h50.35.694","child"
"557",6,"male","2022-04-25_10h50.35.694",6.4154,6.9167,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",2,0,1,0,"pseudo-word demonstrative_2022-04-25_10h50.35.694","child"
"558",6,"male","2022-04-25_10h50.35.694",6.8321,4.8129,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",3,1,0,0,"pseudo-word demonstrative_2022-04-25_10h50.35.694","child"
"559",6,"male","2022-04-25_10h50.35.694",5.8414,7.821,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",4,0,1,0,"pseudo-word demonstrative_2022-04-25_10h50.35.694","child"
"560",6,"male","2022-04-25_10h50.35.694",7.9719,6.7444,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",5,1,0,0,"pseudo-word demonstrative_2022-04-25_10h50.35.694","child"
"561",6,"male","2022-04-25_10h50.35.694",5.7252,4.7409,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",6,0,1,0,"pseudo-word demonstrative_2022-04-25_10h50.35.694","child"
"562",6,"male","2022-04-25_10h50.35.694",7.079,4.6251,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",7,1,0,0,"pseudo-word demonstrative_2022-04-25_10h50.35.694","child"
"563",6,"male","2022-04-25_10h50.35.694",4.0751,3.8223,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",8,0,1,0,"pseudo-word demonstrative_2022-04-25_10h50.35.694","child"
"568",5,"female","2022-04-27_09h44.58.174",12.3655,10.1357,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",1,0,1,0,"pseudo-word demonstrative_2022-04-27_09h44.58.174","child"
"569",5,"female","2022-04-27_09h44.58.174",12.4315,5.6406,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","left","pseudo-word demonstrative",2,1,1,1,"pseudo-word demonstrative_2022-04-27_09h44.58.174","child"
"570",5,"female","2022-04-27_09h44.58.174",5.224,7.2619,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","right","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2022-04-27_09h44.58.174","child"
"571",5,"female","2022-04-27_09h44.58.174",5.5168,3.7636,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","right","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2022-04-27_09h44.58.174","child"
